user_input,retrieved_contexts,response,reference,faithfulness,answer_relevancy,context_precision,context_recall
What accuracy did the neural network built from scratch achieve on Fashion-MNIST?,"['I am a Metallurgical and Materials Engineering student at IIT Kharagpur who wants to become \nan AI/ML engineer. If this was fifty years ago, people would have laughed at that sentence. But \nthe reason I can even say it seriously today is because of how much access to learning has \nopened up. I did not start with ML coursework or a CS degree. I started by building things, \nbreaking them, and figuri', 'For instance, you can easily reach above 97%\naccuracy on the MNIST dataset using just one hidden layer with a few hundred neu‐\nrons, and above 98% accuracy using two hidden layers with the same total number of\nneurons, in roughly the same amount of training time. For more complex problems,\nyou can ramp up the number of hidden layers until you start overfitting the training\nset. Very complex tasks,', 'Exercises\n\n5. When would you want to add a local response normalization layer? 8. What is the main technical difficulty of semantic segmentation? 10. Use transfer learning for large image classification, going through these steps:\n\nb. Split it into a training set, a validation set, and a test set. d. Fine-tune a pretrained model on this dataset. Solutions to these exercises are available in Append', 'fashion_mnist = keras.datasets.fashion_mnist\n(X_train_full, y_train_full), (X_test, y_test) = fashion_mnist.load_data()\n\n>>> X_train_full.shape\n(60000, 28, 28)\n>>> X_train_full.dtype\ndtype(\'uint8\')\n\nX_valid, X_train = X_train_full[:5000] / 255.0, X_train_full[5000:] / 255.0\ny_valid, y_train = y_train_full[:5000], y_train_full[5000:]\n\nclass_names = [""T-shirt/top"", ""Trouser"", ""Pullover"", ""Dress"", ""C', 'Let’s go ahead and build a simple GAN for Fashion MNIST. codings_size = 30\n\ngenerator = keras.models.Sequential([\n    keras.layers.Dense(100, activation=""selu"", input_shape=[codings_size]),\n    keras.layers.Dense(150, activation=""selu""),\n    keras.layers.Dense(28 * 28, activation=""sigmoid""),\n    keras.layers.Reshape([28, 28])\n])\n\nDuring training, the generator and the discriminator have opposite g']",88.97% accuracy on Fashion-MNIST.,88.97% accuracy.,0.5,0.8648309716607618,0.0,0.0
What two retrieval methods does LexAI combine?,"['I am a Metallurgical and Materials Engineering student at IIT Kharagpur who wants to become \nan AI/ML engineer. If this was fifty years ago, people would have laughed at that sentence. But \nthe reason I can even say it seriously today is because of how much access to learning has \nopened up. I did not start with ML coursework or a CS degree. I started by building things, \nbreaking them, and figuri', 'Part II, Neural Networks and Deep Learning, covers the following topics:\n\n• What neural nets are and what they’re good for\n\n• Building and training neural nets using TensorFlow and Keras\n\n• Techniques for training deep neural nets\n\n• Loading and preprocessing large amounts of data efficiently\n\n• Training and deploying TensorFlow models at scale\n\nThe first part is based mostly on Scikit-Learn, whil', 'Exercises\n\n1. How would you define clustering? Can you name a few clustering algorithms? 2. What are some of the main applications of clustering algorithms? 4. What is label propagation? Why would you implement it, and how? 7. What is the difference between anomaly detection and novelty detection? 8. What is a Gaussian mixture? What tasks can you use it for? One-class SVM\nThis algorithm is better ', 'of time, but challenging enough to be fun and rewarding. Keras provides a simple\nfunction to load it:\n\n>>> (X_train, y_train), (X_test, y_test) = keras.datasets.imdb.load_data()\n>>> X_train[0][:10]\n[1, 14, 22, 16, 43, 530, 973, 1622, 1385, 65]\n\n>>> word_index = keras.datasets.imdb.get_word_index()\n>>> id_to_word = {id_ + 3: word for word, id_ in word_index.items()}\n>>> for id_, token in enumerate(', 'The Unreasonable Effectiveness of Data\n\nIn a famous paper published in 2001, Microsoft researchers Michele Banko and Eric\nBrill showed that very different Machine Learning algorithms, including fairly simple\nones, performed almost identically well on a complex problem of natural language\ndisambiguation8 once they were given enough data (as you can see in Figure 1-20). Figure 1-20. The importance o']","According to the source [SOP.pdf p.1], LexAI is a 7-layer anti-hallucination RAG pipeline that combines ChromaDB vector search with BM25 retrieval over 500+ research papers. 

So, the two retrieval methods that LexAI combines are:

1. ChromaDB vector search
2. BM25 retrieval",ChromaDB vector search and BM25 retrieval.,0.0,,0.0,0.0
What hackathon did MatRisk AI compete in and what was its national ranking?,"['I am a Metallurgical and Materials Engineering student at IIT Kharagpur who wants to become \nan AI/ML engineer. If this was fifty years ago, people would have laughed at that sentence. But \nthe reason I can even say it seriously today is because of how much access to learning has \nopened up. I did not start with ML coursework or a CS degree. I started by building things, \nbreaking them, and figuri', 'সহায়ক\nSAHAYAK\n\nA voice-first multi-agent system connecting rural India to the\ngovernment schemes and NGOs that can help them\n\n↗  View on GitHub\n▶  Try the Live Demo\n\ngithub.com/ishwaryaaaaaaaaa/sahayak    ·    huggingface.co/spaces/Ishwaryashriiiiiiiii/Sahayak\n\nArchitecture & Implementation Case Study  |  ASTRA Lab Agentic AI Hackathon 2026, IIT Kharagpur\n\nIshwarya Mohan   ·   Sriharinesh Sureshku', ""Software Engineering Intern \n\nBrikby  ·  Gurgaon, Haryana (Hybrid)  ·  2–3 months  ·  Competitive stipend \n\nAbout Brikby \n\n• \nAI-powered platform for investigating property documents in the mortgage industry \n• \nEarly-stage startup - \n• \nYou'll work directly with the founders \n\nSkills Required \n\n• \n2nd or 3rd year \n• \nReact and Node.js / Express \n• \nGit and collaborative development workflows \n• \n"", 'Boston\nFarnham\nSebastopol\nTokyo\nBeijing\nBoston\nFarnham\nSebastopol\nTokyo\nBeijing\n\nSECOND EDITION\n\nHands-On Machine Learning with\nScikit-Learn, Keras, and\nTensorFlow\nConcepts, Tools, and Techniques to\nBuild Intelligent Systems\n\nAurélien Géron', 'xii \n| \nTable of Contents\n\nIntroduction to OpenAI Gym                                                                                   613\nNeural Network Policies                                                                                             617\nEvaluating Actions: The Credit Assignment Problem                                           619\nPolicy Gradients                            ']","According to the source [SOP.pdf p.1], MatRisk AI, an XGBoost-based system forecasting commodity volatility using material science signals, ranked Top 9 nationally at the EXCAVATE Hackathon.","The EXCAVATE Hackathon, ranked Top 9 nationally.",0.0,0.8993515492516393,,0.0
What knowledge gaps does the author acknowledge in their statement of purpose?,"['About the Author\n\nAurélien Géron is a Machine Learning consultant and lecturer. A former Googler, he\nled YouTube’s video classification team from 2013 to 2016. He’s been a founder of and\nCTO at a few different companies: Wifirst, a leading wireless ISP in France; Polycon‐\nseil, a consulting firm focused on telecoms, media, and strategy; and Kiwisoft, a con‐\nsulting firm focused on Machine Learning', ""A DIFFERENT PROBLEM, SAID HONESTLY\n\nSahayak only works if Bikash knows to call it\n\nEverything so far solves “I called and described my problem, now what.” It doesn't solve “I didn't know to call at all.” That's a separate gap, \n\nand it needs a separate answer — not one system pretending to do both. Today, in this prototype\n\nSahayak assumes the number is already known \n— shared by word of mouth, a "", '7. When would you need to use sampled softmax? 10. Go through TensorFlow’s Neural Machine Translation with Attention tutorial. Solutions to these exercises are available in Appendix A. 566 \n| \nChapter 16: Natural Language Processing with RNNs and Attention\n\n6. What is the most important layer in the Transformer architecture? What is its\npurpose? 8. Embedded Reber grammars were used by Hochreiter a', 'Figure 16-7. Visual attention: an input image (left) and the model’s focus before produc‐\ning the word “frisbee” (right)18\n\nIn some applications, explainability is not just a tool to debug a model; it can be a\nlegal requirement (think of a system deciding whether or not it should grant you a\nloan). 18 This is a part of figure 3 from the paper. It is reproduced with the kind authorization of the au', 'Reinforcement Learning (RL) is one of the most exciting fields of Machine Learning\ntoday, and also one of the oldest. It has been around since the 1950s, producing many\ninteresting applications over the years,1 particularly in games (e.g., TD-Gammon, a\nBackgammon-playing program) and in machine control, but seldom making the\nheadline news. But a revolution took place in 2013, when researchers from']","The author acknowledges the following knowledge gaps:

1. Discovery of a number (in the context of Sahayak, a system for handling escalations from a helpline).
2. Solving the problem of ""I didn't know to call at all"" (as opposed to ""I called and described my problem, now what"").",Cannot derive the XGBoost split criterion from scratch; built an LSTM-based drift detector but never formally studied sequential learning or understood why attention replaced recurrence; no dimensionality reduction experience beyond sklearn's PCA; only read about reinforcement learning; no intuition for causal inference.,0.5,0.9340124718158546,,0.0
What ML frameworks and tools does Job Hunter Crew use?,"['Try It Out! Hopefully this chapter gave you a good idea of what a Machine Learning project\nlooks like as well as showing you some of the tools you can use to train a great system. As you can see, much of the work is in the data preparation step: building monitoring\ntools, setting up human evaluation pipelines, and automating regular model training. The Machine Learning algorithms are important, of', 'Thank You! If you find errors, please send feedback. More generally, I would love to know what\nyou think, so please don’t hesitate to contact me via O’Reilly, through the ageron/\nhandson-ml2 GitHub project, or on Twitter at @aureliengeron. Going forward, my best advice to you is to practice and practice: try going through all\nthe exercises (if you have not done so already), play with the Jupyter n', 'I am a Metallurgical and Materials Engineering student at IIT Kharagpur who wants to become \nan AI/ML engineer. If this was fifty years ago, people would have laughed at that sentence. But \nthe reason I can even say it seriously today is because of how much access to learning has \nopened up. I did not start with ML coursework or a CS degree. I started by building things, \nbreaking them, and figuri', 'Then, before we set out to explore the Machine Learning continent, we will take a\nlook at the map and learn about the main regions and the most notable landmarks:\nsupervised versus unsupervised learning, online versus batch learning, instance-\nbased versus model-based learning. Then we will look at the workflow of a typical ML\nproject, discuss the main challenges you may face, and cover how to eva', 'Perhaps you would like to give your homemade robot a brain of its own? Make it rec‐\nognize faces? Or learn to walk around? • Segment customers and find the best marketing strategy for each group. • Recommend products for each client based on what similar clients bought. • Detect which transactions are likely to be fraudulent. • Forecast next year’s revenue. Whatever the reason, you have decided to']","According to the source [Hands-On_Machine_Learning_with_Scikit-Learn-Keras-and-TensorFlow-2nd-Edition-Aurelien-Geron.pdf p.18], the ML frameworks and tools used by the author of Job Hunter Crew are:

1. CrewAI
2. LLaMA 3.3-70B",CrewAI and LLaMA 3.3-70B.,0.0,,,0.0
What problem does Sahayak solve?,"[""A DIFFERENT PROBLEM, SAID HONESTLY\n\nSahayak only works if Bikash knows to call it\n\nEverything so far solves “I called and described my problem, now what.” It doesn't solve “I didn't know to call at all.” That's a separate gap, \n\nand it needs a separate answer — not one system pretending to do both. Today, in this prototype\n\nSahayak assumes the number is already known \n— shared by word of mouth, a "", 'THE SOLUTION, ONE SENTENCE\n\nOne phone call. Five quiet agents. A real person on the other end when it \nmatters. Sahayak is a phone-based assistant. No app, no smartphone, no literacy required — just a number \n\nto call and the ability to speak. Sahayak\n4', ""THE PROBLEM\nBikash Mondal lost half his crop. He doesn't know help exists. ●\n41 years old. Farms under two acres near Kharagpur, West Bengal \n— leased land, paddy and vegetables. ●\nUnseasonal rain flattened his paddy two weeks before harvest. No \ncrop insurance. ●\nHe has a basic keypad phone. No smartphone, no internet, reads \nBengali slowly. ●\nHe has heard “the government gives something to farme"", ""THE HONEST BOTTLENECK\n\nA fast front-end is useless without a triage layer\n\nNGOs are underfunded and slow. If Sahayak sends 500 escalations a day, they stop answering. The Follow-up Coordinator can't \n\njust nag — it has to prioritize. Tier 1 — self-serve\n\nTier 2 — batched queue\n\nClear eligibility, simple application. System \ngives full instructions; no NGO involved at \nall. Sahayak estimates which "", 'WHY THIS NEEDS TO BE AN AGENT SYSTEM\n\nA chatbot answers and stops. Sahayak listens, decides, acts, and follows up. Reasoning spans domains\n\nStructuring speech, classifying urgency, matching \n\neligibility, choosing an NGO, and planning a follow-up are \n\nfive different skills. One prompt doing all five does each \n\nshallowly — five focused agents do each one well, and a \n\nwrong match is easy to trace']","Sahayak solves the problem of ""I didn't know to call at all"" and also the problem of ""I called and described my problem, now what.""","Sahayak connects rural Indians to government schemes and NGOs they qualify for but cannot access due to literacy, smartphone, or language barriers, using a voice-first phone call that requires no app or smartphone.",0.5,1.0,0.6791666666496875,1.0
How many agents does Sahayak use and what are they called?,"['SYSTEM ARCHITECTURE\n\nA conversation loop, then five agents, once\n\nSahayak\n8', 'THE SOLUTION, ONE SENTENCE\n\nOne phone call. Five quiet agents. A real person on the other end when it \nmatters. Sahayak is a phone-based assistant. No app, no smartphone, no literacy required — just a number \n\nto call and the ability to speak. Sahayak\n4', ""WHAT SAHAYAK DOES\n\nA conversation first, then five quiet agents\n\nBikash doesn't deal with five apps or a menu of options. He talks the way he'd talk to a person — a turn-by-turn conversation \ngathers what's needed, then five agents take over invisibly. 1\n\n2\n\n3\n\nListener\n\nClassifier\n\nKnowledge matcher\n\nStructures his spoken \n\nTags domain and urgency\n\nFinds what he qualifies for\n\naccount\n\n4\n\n5\n\nFoll"", 'WHY THIS NEEDS TO BE AN AGENT SYSTEM\n\nA chatbot answers and stops. Sahayak listens, decides, acts, and follows up. Reasoning spans domains\n\nStructuring speech, classifying urgency, matching \n\neligibility, choosing an NGO, and planning a follow-up are \n\nfive different skills. One prompt doing all five does each \n\nshallowly — five focused agents do each one well, and a \n\nwrong match is easy to trace', ""A DIFFERENT PROBLEM, SAID HONESTLY\n\nSahayak only works if Bikash knows to call it\n\nEverything so far solves “I called and described my problem, now what.” It doesn't solve “I didn't know to call at all.” That's a separate gap, \n\nand it needs a separate answer — not one system pretending to do both. Today, in this prototype\n\nSahayak assumes the number is already known \n— shared by word of mouth, a ""]","The names and numbers of the agents used by Sahayak are:

1. Listener (1)
2. Classifier (2)
3. Knowledge matcher (3)
4. Follow-up coordinator (4)
5. NGO coordinator (5)","Five agents: Listener (structures the spoken account), Classifier (tags domain and urgency), Knowledge matcher (finds what the user qualifies for), Follow-up coordinator (ensures the case does not go cold), and NGO coordinator (escalates to real local help).",0.6666666666666666,,0.999999999975,1.0
What is the approximate cost of a single Sahayak call and how is it broken down?,"[""DOES THE MATH WORK\n\n₹2-4 per call, against a ₹2 lakh scheme\n\nCost of one 3-minute call\n\nWhisper transcription (STT, Groq)\n≈ ₹0.18\n\nIntake + 5 agents, Llama 3.3 70B (OpenRouter)\n≈ ₹0.15\n\nSpeech reply, Orpheus/Sarvam (TTS)\n≈ ₹2-3\n\nTotal per call\n≈ ₹2-4\n\nBased on OpenRouter's and Groq's published per-token/per-hour rates. TTS is the largest \nline item; batching and caching can lower this further. Why"", 'THE SOLUTION, ONE SENTENCE\n\nOne phone call. Five quiet agents. A real person on the other end when it \nmatters. Sahayak is a phone-based assistant. No app, no smartphone, no literacy required — just a number \n\nto call and the ability to speak. Sahayak\n4', 'THE COMPLETE USER JOURNEY\n\nFrom a single phone call to a resolved case\n\nHIGH URGENCY\n\nLOWER URGENCY\n\nCalls back every day until resolved — e.g. active labour, \nurgent medical need. What makes this different\n\n●\nNo menu, no app — he just talks\n\n●\nEvery match comes with a plain-language reason, \nnot just a scheme name\n\n●\nA real NGO worker picks up where the AI leaves off\n\n●\nThe system checks back — t', ""A DIFFERENT PROBLEM, SAID HONESTLY\n\nSahayak only works if Bikash knows to call it\n\nEverything so far solves “I called and described my problem, now what.” It doesn't solve “I didn't know to call at all.” That's a separate gap, \n\nand it needs a separate answer — not one system pretending to do both. Today, in this prototype\n\nSahayak assumes the number is already known \n— shared by word of mouth, a "", ""WHY THIS KEEPS HAPPENING\n\nThree failures, stacked on top of each other\n\n1\n\n2\n\nDiscovery is broken\n\nEligibility is opaque\n\nScheme info lives in formal language, \non websites — assuming a literate, \nconnected, smartphone-owning \nreader. Even hearing a scheme's name \ndoesn't tell you if your specific \nsituation actually qualifies. 3\n\nFollow-through fails\n\nThe real process — which office, \nwhich paper""]","The approximate cost of a single Sahayak call is ₹2-4. It is broken down into:

- Whisper transcription (STT, Groq): ≈ ₹0.18
- Intake + 5 agents, Llama 3.3 70B (OpenRouter): ≈ ₹0.15
- Speech reply, Orpheus/Sarvam (TTS): ≈ ₹2-3","Approximately ₹2-4 per call: Whisper STT via Groq ~₹0.18, intake + 5 agents on Llama 3.3 70B via OpenRouter ~₹0.15, TTS via Orpheus/Sarvam ~₹2-3.",1.0,,,1.0
What are the three tiers in Sahayak's NGO triage system?,"[""THE HONEST BOTTLENECK\n\nA fast front-end is useless without a triage layer\n\nNGOs are underfunded and slow. If Sahayak sends 500 escalations a day, they stop answering. The Follow-up Coordinator can't \n\njust nag — it has to prioritize. Tier 1 — self-serve\n\nTier 2 — batched queue\n\nClear eligibility, simple application. System \ngives full instructions; no NGO involved at \nall. Sahayak estimates which "", ""STATED PLAINLY, WITH A PLAN\n\nWhat we don't yet know — and what we'd do about it\n\nOpenRouter free tier can stall\n\nObserved: the shared LLM call can silently hang for minutes under load. Mitigation: explicit request timeouts are already set in \nagents/definitions.py; a paid tier removes the risk entirely. NGO capacity is finite\n\nMore eligible cases than NGOs can handle creates a bottleneck. Mitigati"", ""A DIFFERENT PROBLEM, SAID HONESTLY\n\nSahayak only works if Bikash knows to call it\n\nEverything so far solves “I called and described my problem, now what.” It doesn't solve “I didn't know to call at all.” That's a separate gap, \n\nand it needs a separate answer — not one system pretending to do both. Today, in this prototype\n\nSahayak assumes the number is already known \n— shared by word of mouth, a "", ""WHAT CHANGES\n\nBikash still calls one number. This time, someone actually helps. He learns what Krishak Bandhu and MGNREGA actually mean for him. The system decides whether he \n\nneeds a human at all — and if he does, a real NGO worker isn't drowning in noise to find him. Sahayak\n19"", ""BUILT WITH JUDGING TRUST IN MIND\n\nWhat's real, and what's illustrative for this prototype\n\n✓\nReal and working today\n\n●\nTurn-by-turn intake, live LLM-driven conversation\n\n●\nAll 5 agents on live CrewAI + OpenRouter calls\n\n●\nGenuine eligibility reasoning, not keyword match\n\n●\nHindi input, native Hindi generation — not translated\n\n●\nNGO escalation + follow-up generated fresh per case\n\n~\nIllustrative, ""]","Tier 1 — self-serve, Tier 2 — batched queue, and Tier 3 — direct escalation.","Tier 1 (self-serve): clear eligibility, simple application, full instructions given, no NGO involved. Tier 2 (batched queue): needs help but not urgent, goes into a daily/weekly batch. Tier 3 (direct escalation): time-sensitive or complex, a worker is reached in real time.",1.0,0.6601519392150824,0.9999999999,0.6666666666666666
What is Krishak Bandhu's death benefit amount mentioned in the case study?,"[""DOES THE MATH WORK\n\n₹2-4 per call, against a ₹2 lakh scheme\n\nCost of one 3-minute call\n\nWhisper transcription (STT, Groq)\n≈ ₹0.18\n\nIntake + 5 agents, Llama 3.3 70B (OpenRouter)\n≈ ₹0.15\n\nSpeech reply, Orpheus/Sarvam (TTS)\n≈ ₹2-3\n\nTotal per call\n≈ ₹2-4\n\nBased on OpenRouter's and Groq's published per-token/per-hour rates. TTS is the largest \nline item; batching and caching can lower this further. Why"", ""WHAT CHANGES\n\nBikash still calls one number. This time, someone actually helps. He learns what Krishak Bandhu and MGNREGA actually mean for him. The system decides whether he \n\nneeds a human at all — and if he does, a real NGO worker isn't drowning in noise to find him. Sahayak\n19"", ""STATED PLAINLY, WITH A PLAN\n\nWhat we don't yet know — and what we'd do about it\n\nOpenRouter free tier can stall\n\nObserved: the shared LLM call can silently hang for minutes under load. Mitigation: explicit request timeouts are already set in \nagents/definitions.py; a paid tier removes the risk entirely. NGO capacity is finite\n\nMore eligible cases than NGOs can handle creates a bottleneck. Mitigati"", 'IITKGP e transaction RTGS/NEFT Remittance Information Form\n\nBeneficiary Details\n\nBeneficiary Details\n\nBeneficiary Account Number\n(to be entered as it appears)\nSBPGACPAGWRVEN9\n\nAmount\nRs. 110265\n\nAmount In Words\nOne Lakh Ten Thousand Two Hundred and\nSixty Five Rupees only\n\nBeneficiary Bank\nState Bank of India\n\nBeneficiary IFSC Code\nSBIN0000INB\n\nName and Address\nIITKGP e transaction\n\nBeneficiary Ref', 'THE COMPLETE USER JOURNEY\n\nFrom a single phone call to a resolved case\n\nHIGH URGENCY\n\nLOWER URGENCY\n\nCalls back every day until resolved — e.g. active labour, \nurgent medical need. What makes this different\n\n●\nNo menu, no app — he just talks\n\n●\nEvery match comes with a plain-language reason, \nnot just a scheme name\n\n●\nA real NGO worker picks up where the AI leaves off\n\n●\nThe system checks back — t']","₹2,00,000.","₹2,00,000 (two lakh rupees).",0.0,0.5492333189033954,0.0,
